family,method,pool,description,origin,track_record,similar,macro,qa,math,cells,size_mean,size_median,size_min,size_max,size_cells,top_features,picks_subset,needs_anchor,scale,reproduces,macro_today,drift_pp,frac_size3,macro_spread_pp,cell_spread_pp,worst_cell_spread_pp,macro_eigen,macro_complete,role,status,step
classical_fs,spec_s6,c46,"SPEC (Zhao-Liu 2007) spectral feature selection. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Best subset of exactly size N found by this method.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"spec_adapt, spec_s4, spec_s5, lapscore_adapt, lapscore_s4, lapscore_s5, lapscore_s6",0.7253,0.6661,0.7647,25,6,6,6,6,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7253,0.0,0.0,0.0,0.0,0.0,0.7249,0.7253,fs_selector_candidate,,Step 186
a5_mrmr,a5.mrmr_a0.3_adapt,h16,"mRMR, alpha=0.3 (light redundancy penalty). Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Size chosen adaptively by the method's own rule, not fixed.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.3_s6, a5.mrmr_a0.0_adapt, a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6",0.7245,0.6773,0.756,25,7.6,8,3,8,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,lookup table vs live re-fusion,0.7237,-0.08,0.08,0.0,0.0,0.0,0.7291,0.7268,fs_selector_candidate,,Step 189
classical_fs,lapscore_s4,c46,"Laplacian Score (He-Cai-Niyogi 2005) — classic unsupervised FS. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Best subset of exactly size N found by this method.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"lapscore_adapt, lapscore_s5, lapscore_s6, mcfs_adapt, mcfs_s4, mcfs_s5, mcfs_s6",0.7243,0.6673,0.7622,25,4,4,4,4,25,"mean_logprob_entropy, renyi_entropy_2, epr",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7232,-0.1,0.0,0.0,0.0,0.0,0.7241,0.7243,fs_selector_candidate,,Step 186
classical_fs,spec_s4,c46,"SPEC (Zhao-Liu 2007) spectral feature selection. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Best subset of exactly size N found by this method.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"spec_adapt, spec_s5, spec_s6, lapscore_adapt, lapscore_s4, lapscore_s5, lapscore_s6",0.7243,0.6673,0.7622,25,4,4,4,4,25,"mean_logprob_entropy, renyi_entropy_2, epr",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7232,-0.1,0.0,0.0,0.0,0.0,0.7241,0.7243,fs_selector_candidate,,Step 186
reference_macros,ref.consensus_4,c46,"4 features that were consensus picks across multiple early subset searches. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.LOCO_5",0.7242,0.6866,0.7493,25,4,4,4,4,25,"spectral_entropy, sw_var_peak, cusum_max",no — fixed,yes,unit,code fix: Step-205 exact small-m solve,0.7302,0.6,0.0,0.0,0.0,0.0,0.7278,0.7133,"reference_macro (hand-curated, not FS output)",,Step 155 era
reference_macros,ref.consensus_4,h16,"4 features that were consensus picks across multiple early subset searches. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.LOCO_5",0.7242,0.6866,0.7493,25,4,4,4,4,25,"spectral_entropy, sw_var_peak, cusum_max",no — fixed,yes,unit,code fix: Step-205 exact small-m solve,0.7302,0.6,0.0,0.0,0.0,0.0,0.7278,0.7133,"reference_macro (hand-curated, not FS output)",,Step 155 era
classical_fs,lapscore_s5,c46,"Laplacian Score (He-Cai-Niyogi 2005) — classic unsupervised FS. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Best subset of exactly size N found by this method.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"lapscore_adapt, lapscore_s4, lapscore_s6, mcfs_adapt, mcfs_s4, mcfs_s5, mcfs_s6",0.7231,0.6624,0.7635,25,5,5,5,5,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7231,0.0,0.0,0.0,0.0,0.0,0.7233,0.7225,fs_selector_candidate,,Step 186
classical_fs,spec_s5,c46,"SPEC (Zhao-Liu 2007) spectral feature selection. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Best subset of exactly size N found by this method.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"spec_adapt, spec_s4, spec_s6, lapscore_adapt, lapscore_s4, lapscore_s5, lapscore_s6",0.7231,0.6624,0.7635,25,5,5,5,5,25,"epr, mean_logprob_entropy, renyi_entropy_2",yes,yes,unit,verified,0.7231,0.0,0.0,0.0,0.0,0.0,0.7233,0.7225,fs_selector_candidate,,Step 186
a1_residual,a1.upcrres_greedy,c46,"Greedy search minimizing the U-PCR k=1 projection residual. Uses the LEGACY fusion_utils.upcr_proj_residual (var_y pinned at 0.25), not the paper-faithful spectral_utils.upcr built in Step 204 — the objective predates it. Step 204 found faithful vs legacy U-PCR is -0.18pp median (p=0.173) at fusion time, so the gap is unlikely to matter here, but it has not been measured as a selection criterion. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7225,0.6726,0.7557,25,3.7,3,3,6,25,"renyi_entropy_2, mean_top1_logprob, mean_logprob_entropy",yes,yes,unit,re-run today,0.7225,,0.6,0.0,0.0,0.0,0.7216,0.7155,fs_selector_candidate,,Step 186
a1_residual,a1.upcrres_greedy+scale_complete,c46,"Greedy search minimizing the U-PCR k=1 projection residual. Uses the LEGACY fusion_utils.upcr_proj_residual (var_y pinned at 0.25), not the paper-faithful spectral_utils.upcr built in Step 204 — the objective predates it. Step 204 found faithful vs legacy U-PCR is -0.18pp median (p=0.173) at fusion time, so the gap is unlikely to matter here, but it has not been measured as a selection criterion. For each candidate subset: build the covariance, spectral-cluster it into K groups, measure the residual of that fit. Also includes a router between L-SML and U-PCR fusion based on which has the lower residual, and swapping the K-selection rule for the Ahn-Horenstein / Kritchman-Nadler rank tests. Same method, re-derived with L-SML's rank-one loading estimator set to scale S. 'unit' is the historical default and does not satisfy Lemma 1; 'complete' is the exact masked-completion fit. Only selectors whose objective calls L-SML are affected.","Jaffe, Nadler, Kluger — ""Estimating the Accuracies of Multiple Classifiers Without Labels"" (arXiv:1407.7644, 2014). Reuses the paper's own Eq-14 structural residual — how well a K-group rank-one covariance model fits a subset's correlation structure — but as a SELECTION criterion, which is not what the paper proposes it for (the paper uses it internally at fusion time; we search over subsets to minimize it).","Every variant scored BELOW GOOD_5 on the 25 in-scope cells (best: a1.router@good5 0.7494 vs GOOD_5 0.7519). Verdict: the residual objective is not admissible as a selection criterion — it is nearly orthogonal to separability (weakly ANTI-correlated with AUROC, Spearman ~ -0.11 to -0.17).","a1.upcrres_greedy, a1.good5+K_ah, a1.good5+K_kn, a1.minres+K_ah, a1.minres_exh_adapt",0.7225,0.6726,0.7557,25,3.7,3,3,6,25,"renyi_entropy_2, mean_top1_logprob, mean_logprob_entropy",yes,yes,complete,re-run today,0.7225,,0.6,,,,,,fs_selector_candidate,"corrected criterion, -0.00pp vs 'unit'",205
a5_mrmr,a5.mrmr_a0.0_adapt,h16,"mRMR, alpha=0 (pure relevance, no redundancy penalty) — reproduces a4.anchor. Greedy: score(j|S) = relevance(j) - alpha * redundancy(j|S), relevance = |Spearman| with the anchor, redundancy = mean |Spearman| with already-picked features (reuses the cell's cached rho matrix, no recompute). alpha=0 reproduces a4.anchor exactly. Size chosen adaptively by the method's own rule, not fixed.","Peng, Long, Ding — ""Feature Selection Based on Mutual Information: Criteria of Max-Dependency, Max-Relevance, and Min-Redundancy"" (mRMR; IEEE TPAMI 27(8), 2005). Uses |Spearman| in place of mutual information (label-free relevance proxy against the anchor, not true MI).","Best: a5.mrmr_a0.7_adapt 0.7379, still below GOOD_5 — adding the redundancy term diversifies the picks (verified: alpha=0 clones near-identical features, alpha=0.7 spreads across the pool) but does not translate into a competitive AUROC.","a5.mrmr_a0.0_s4, a5.mrmr_a0.0_s5, a5.mrmr_a0.0_s6, a5.mrmr_a0.3_adapt, a5.mrmr_a0.3_s4, a5.mrmr_a0.3_s5, a5.mrmr_a0.3_s6",0.7217,0.6763,0.752,25,8,8,8,8,25,"epr, sw_var_peak, cusum_max",yes,yes,unit,within its own noise,0.7217,0.0,0.0,0.0,0.0,0.0,0.7238,0.7225,fs_selector_candidate,,Step 189
simple_stats,random_s5,c46,"Random floor — the sanity check every real selector must beat. random (uniform draw, THE floor), mad (median-absolute-deviation rank), kurtosis (non-Gaussianity rank), decorrelation (greedy min mutual |Spearman|, no relevance term). Best subset of exactly size N found by this method.","No paper — deliberately naive floor, motivated by the Rajabinasab et al. 2026 guardrail finding that many unsupervised FS methods lose to random selection.","The sanity floor every real selector must clear. Variance-based selection is deliberately excluded: UnlabeledCell.V is z-scored per column (unit variance), so raw variance carries no signal here.","random_s4, random_s6, decorr_s4, decorr_s5, decorr_s6, kurtosis_s4",0.7212,0.6707,0.755,25,5,5,5,5,25,"epr_spilled, sw_var_peak_energy, cusum_max_energy",yes,yes,unit,verified,0.7212,0.0,0.0,0.0,0.0,0.0,0.7164,0.7164,fs_selector_candidate,FLOOR — the sanity check every selector must beat,Step 186
a3_concrete_ae,a3.cae_k7,c46,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all. Bottleneck / latent dimension N (Concrete Autoencoder).","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae, a3.cae_k3, a3.cae_k4, a3.cae_k5",0.7189,0.6799,0.7449,25,7,7,7,7,25,"pe_mean, spectral_centroid, mean_logprob_entropy",yes,yes,unit,verified,0.7189,0.0,0.0,0.0,0.0,0.0,0.7084,0.7053,fs_selector_candidate,,Step 186
a3_concrete_ae,a3.cae_k8,c46,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all. Bottleneck / latent dimension N (Concrete Autoencoder).","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae, a3.cae_k3, a3.cae_k4, a3.cae_k5",0.7187,0.671,0.7505,25,8,8,8,8,25,"pe_mean, cusum_shift_idx, mean_logprob_entropy",yes,yes,unit,verified,0.7187,0.0,0.0,0.0,0.0,0.0,0.7126,0.7116,fs_selector_candidate,,Step 186
classical_fs,mcfs_s4,c46,"MCFS (Cai-Zhang-He 2010) multi-cluster feature selection. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Best subset of exactly size N found by this method.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"mcfs_adapt, mcfs_s5, mcfs_s6, lapscore_adapt, lapscore_s4, lapscore_s5, lapscore_s6",0.7181,0.6419,0.7688,25,4,4,4,4,25,"topk_tail_mass, dominant_freq, logprob_margin",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7242,0.61,0.0,0.0,0.0,0.0,0.7189,0.7109,fs_selector_candidate,,Step 186
a3_concrete_ae,a3.cae_k4,c46,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all. Bottleneck / latent dimension N (Concrete Autoencoder).","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae, a3.cae_k3, a3.cae_k5, a3.cae_k6",0.7172,0.6877,0.737,25,4,4,4,4,25,"spectral_centroid, mean_logprob_entropy, trace_length",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7279,1.07,0.0,0.0,0.0,0.0,0.713,0.7161,fs_selector_candidate,,Step 186
classical_fs,mcfs_adapt,c46,"MCFS (Cai-Zhang-He 2010) multi-cluster feature selection. All three build one sample-similarity graph per cell then rank features against it: Laplacian Score and SPEC by a normalized-Laplacian Rayleigh quotient (lower=better, feature varies ALONG the manifold not across it); MCFS by L1-regressing top-K spectral embeddings onto the features (higher=better, feature reconstructs cluster structure). Size chosen adaptively by the method's own rule, not fixed.","Three methods, three papers, one family: Laplacian Score (He, Cai, Niyogi, NIPS 2005); SPEC/phi2 (Zhao & Liu, ICML 2007); MCFS (Cai, Zhang, He, KDD 2010).",The textbook unsupervised-FS baselines this project's learned selectors are meant to beat; all score well below GOOD_5.,"mcfs_s4, mcfs_s5, mcfs_s6, lapscore_adapt, lapscore_s4, lapscore_s5, lapscore_s6",0.7169,0.6347,0.7717,25,4.4,4,3,8,25,"topk_tail_mass, dominant_freq, varentropy",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7193,0.24,0.48,0.0,0.0,0.02,0.7186,0.7108,fs_selector_candidate,,Step 186
a4_antigravity,a4.recon_s6,c46,Greedy CSSP linear-reconstruction selection. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Best subset of exactly size N found by this method.,"No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.recon_adapt, a4.recon_s4, a4.recon_s5, a4.anchor_adapt, a4.anchor_s4, a4.anchor_s5, a4.anchor_s6",0.7151,0.679,0.7393,25,6,6,6,6,25,"spectral_centroid, mean_logprob_entropy, trace_length",yes,yes,unit,verified,0.7151,0.0,0.0,0.0,0.0,0.0,0.7007,0.7004,fs_selector_candidate,,Step 186
a3_concrete_ae,a3.cae_k5,c46,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all. Bottleneck / latent dimension N (Concrete Autoencoder).","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae, a3.cae_k3, a3.cae_k4, a3.cae_k6",0.7132,0.6752,0.7384,25,5,5,5,5,25,"spectral_centroid, mean_logprob_entropy, spectral_entropy",yes,yes,unit,verified,0.7132,0.0,0.0,0.0,0.0,0.0,0.7079,0.7033,fs_selector_candidate,,Step 186
a4_antigravity,a4.recon_s5,c46,Greedy CSSP linear-reconstruction selection. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Best subset of exactly size N found by this method.,"No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.recon_adapt, a4.recon_s4, a4.recon_s6, a4.anchor_adapt, a4.anchor_s4, a4.anchor_s5, a4.anchor_s6",0.7124,0.6767,0.7361,25,5,5,5,5,25,"spectral_centroid, mean_logprob_entropy, trace_length",yes,yes,unit,verified,0.7124,0.0,0.0,0.0,0.0,0.0,0.6925,0.6982,fs_selector_candidate,,Step 186
a4_antigravity,a4.recon_s4,c46,Greedy CSSP linear-reconstruction selection. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Best subset of exactly size N found by this method.,"No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.recon_adapt, a4.recon_s5, a4.recon_s6, a4.anchor_adapt, a4.anchor_s4, a4.anchor_s5, a4.anchor_s6",0.7116,0.6829,0.7307,25,4,4,4,4,25,"spectral_centroid, mean_logprob_entropy, trace_length",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7166,0.5,0.0,0.0,0.0,0.0,0.7117,0.7132,fs_selector_candidate,,Step 186
a4_antigravity,a4.recon_adapt,c46,"Greedy CSSP linear-reconstruction selection. a4.recon: greedily add the feature that most reduces linear reconstruction error of the whole pool. a4.anchor: rank by |Spearman| correlation with the cell's anchor view (epr). Size chosen adaptively by the method's own rule, not fixed.","No single paper — classical building blocks: greedy Column Subset Selection (CSSP, linear-reconstruction greedy forward selection) and anchor-correlation ranking (a house heuristic, not from a specific paper).","a4.anchor-family was Step 187's best learned selector on H16 (0.6593) but Step 189 found it statistically indistinguishable from bare epr (25W/26L) — it just picks epr's most-correlated clones, high relevance / zero diversity. This finding motivated a5_mrmr (adds a redundancy term).","a4.recon_s4, a4.recon_s5, a4.recon_s6, a4.anchor_adapt, a4.anchor_s4, a4.anchor_s5, a4.anchor_s6",0.7102,0.681,0.7297,25,4.8,4,4,7,25,"spectral_centroid, mean_logprob_entropy, trace_length",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7197,0.95,0.0,0.0,0.0,0.0,0.7023,0.7116,fs_selector_candidate,,Step 186
a3_concrete_ae,a3.cae,c46,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all.","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae_k3, a3.cae_k4, a3.cae_k5, a3.cae_k6",0.7032,0.6755,0.7216,25,5.4,5,4,7,25,"spectral_centroid, spectral_entropy, mean_logprob_entropy",yes,yes,unit,code fix: Step-205 exact small-m solve,0.7159,1.27,0.0,0.0,0.0,0.0,0.705,0.7099,fs_selector_candidate,,Step 186
reference_macros,ref.STABLE_H9,c46,"A 9-feature subset from the original 16 H(n) views, stable across models/temperatures/domains in early phases. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.LOCO_5",0.7025,0.6572,0.7328,25,9,9,9,9,25,"epr, low_band_power, high_band_power",no — fixed,yes,unit,verified,0.7026,0.0,0.0,0.0,0.0,0.0,0.6968,0.7051,"reference_macro (hand-curated, not FS output)",,Phase 4-5 era
reference_macros,ref.STABLE_H9,h16,"A 9-feature subset from the original 16 H(n) views, stable across models/temperatures/domains in early phases. Emits the fixed subsets (GOOD_5/6, LOCO_5, ...) through the exact same select-then-fuse-then-score path every learned selector uses, so they land in the same leaderboard with identical metrics.",None — not a selector.,"This is the comparison target, not a candidate — see the Reference subsets section above for numbers.","ref.ALL_H16, ref.GOOD_5, ref.GOOD_6, ref.LOCO_5",0.7025,0.6572,0.7328,25,9,9,9,9,25,"epr, low_band_power, high_band_power",no — fixed,yes,unit,within its own noise,0.7026,-0.0,0.0,0.0,0.0,0.0,0.6968,0.7051,"reference_macro (hand-curated, not FS output)",,Phase 4-5 era
simple_stats,random_s6,h16,"Random floor — the sanity check every real selector must beat. random (uniform draw, THE floor), mad (median-absolute-deviation rank), kurtosis (non-Gaussianity rank), decorrelation (greedy min mutual |Spearman|, no relevance term). Best subset of exactly size N found by this method.","No paper — deliberately naive floor, motivated by the Rajabinasab et al. 2026 guardrail finding that many unsupervised FS methods lose to random selection.","The sanity floor every real selector must clear. Variance-based selection is deliberately excluded: UnlabeledCell.V is z-scored per column (unit variance), so raw variance carries no signal here.","random_s4, random_s5, decorr_s4, decorr_s5, decorr_s6, kurtosis_s4",0.7009,0.6669,0.7235,25,6,6,6,6,25,"spectral_centroid, pe_mean, cusum_max",yes,yes,unit,within its own noise,0.7009,-0.0,0.0,0.0,0.0,0.0,0.6922,0.6966,fs_selector_candidate,FLOOR — the sanity check every selector must beat,Step 186
a3_concrete_ae,a3.cae_k8,h16,"Concrete Autoencoder feature pick at a given bottleneck size. A concrete (Gumbel-softmax-relaxed) selector layer picks k of p features to minimize LINEAR RECONSTRUCTION error of the full feature set — entirely label-free, no correctness signal at all. Bottleneck / latent dimension N (Concrete Autoencoder).","Balin, Abid, Zou — ""Concrete Autoencoders: Differentiable Feature Selection and Reconstruction"" (ICML 2019, arXiv:1901.09346); reimplemented torch-CPU with a linear decoder (paper's canonical repo is Keras).","Best: a3.cae_k3 0.7388, below GOOD_5. Known risk (Step 151): reconstruction-good does not imply label-relevant — on z-scored unit-variance columns, a pure-noise feature is reconstructable only by selecting itself, so all its reconstruction value comes from predicting OTHER features, whether or not that tracks detection AUROC.","a3.cae, a3.cae_k3, a3.cae_k4, a3.cae_k5",0.6977,0.6556,0.7258,25,8,8,8,8,25,"pe_mean, cusum_shift_idx, rpdi",yes,yes,unit,within its own noise,0.6977,0.0,0.0,0.0,0.0,0.0,0.6895,0.6851,fs_selector_candidate,,Step 186
